402, 33, 6, 0, 1
394, 20, 4, 0, 1
393, 17, 22, 0, 1
344, 45, 35, 0, 2
390, 16, 3, 0, 1
391, 16, 19, 0, 1
351, 14, 28, 0, 2
332, 37, 36, 0, 3
400, 29, 7, 0, 1
384, 7, 38, 0, 1
375, 37, 22, 0, 2
388, 9, 41, 0, 1
382, 6, 12, 0, 1
404, 45, 7, 0, 1
397, 22, 2, 0, 1
398, 26, 20, 0, 1
386, 8, 15, 0, 1
395, 21, 6, 0, 1
405, 45, 10, 0, 1
407, 47, 11, 0, 2
406, 47, 9, 0, 1
369, 23, 14, 0, 2
360, 18, 24, 0, 2
353, 15, 13, 0, 2
356, 16, 20, 0, 2
352, 14, 40, 0, 2
347, 47, 24, 0, 3
378, 47, 13, 0, 2
399, 27, 17, 0, 1
370, 23, 17, 0, 2
357, 16, 30, 0, 2
358, 16, 43, 0, 2
334, 39, 44, 0, 3
325, 32, 45, 0, 4
336, 40, 29, 0, 3
389, 10, 24, 0, 1
392, 17, 10, 0, 1
343, 45, 24, 0, 3
374, 34, 22, 0, 1
366, 21, 14, 0, 1
364, 20, 20, 0, 2
307, 25, 40, 0, 3
401, 32, 20, 0, 1
371, 23, 18, 0, 1
350, 14, 15, 0, 2
385, 7, 42, 0, 1
376, 38, 14, 0, 2
396, 21, 20, 0, 1
354, 16, 15, 0, 2
383, 6, 44, 0, 1
322, 31, 39, 0, 4
335, 39, 46, 0, 3
367, 21, 36, 0, 2
365, 20, 45, 0, 2
349, 13, 22, 0, 2
355, 16, 16, 0, 2
283, 33, 0, 0, 3
323, 31, 41, 0, 4
403, 45, 5, 0, 1
312, 27, 40, 0, 4
361, 18, 32, 0, 2
362, 18, 34, 0, 2
348, 47, 47, 0, 3
338, 41, 31, 0, 3
359, 17, 17, 0, 2
331, 37, 25, 0, 3
311, 27, 39, 0, 4
315, 28, 37, 0, 3
326, 33, 25, 0, 4
346, 46, 31, 0, 3
363, 19, 37, 0, 2
314, 28, 27, 0, 4
342, 42, 42, 0, 3
310, 27, 33, 0, 3
340, 41, 44, 0, 3
379, 47, 19, 0, 3
309, 27, 30, 0, 4
373, 28, 18, 0, 2
368, 22, 14, 0, 2
319, 29, 47, 0, 4
321, 30, 30, 0, 4
324, 32, 38, 0, 4
377, 38, 22, 0, 2
339, 41, 35, 0, 3
320, 30, 28, 0, 4
327, 34, 30, 0, 4
341, 42, 35, 0, 3
328, 34, 41, 0, 3
316, 28, 38, 0, 3
333, 38, 45, 0, 2
372, 24, 15, 0, 2
306, 24, 29, 0, 4
345, 45, 36, 0, 3
337, 40, 41, 0, 3
330, 35, 30, 0, 3
313, 27, 42, 0, 4
308, 26, 31, 0, 4
329, 34, 43, 0, 3
387, 9, 17, 0, 1
318, 29, 31, 0, 4
317, 29, 30, 0, 4
